*** O
tecniques I
reproductives E
models B
bondadosos I
com I
l'adopcio E
i B
no I
amb I
hipotetiques I
gestacions I
subrogades I
amb I
seleccio I
genetica E
recordem-ho O
es B
aixi I
que I
hem I
de I
fer I
creixer I
les I
nostres I
societats E
perque B
models I
com I
l'adopcio I
son I
referencia I
de I
solidaritat E
i O
aquest B
es I
el I
nostre I
referent I
la I
solidaritat E
i O
es O
que O
i O
acabo O
quan B
plantegem I
la I
gestacio I
subrogada I
ens I
trobem I
donant I
ni I
mes I
ni I
menys I
que I
el I
primer I
pas I
cap I
a I
la I
mercantilitzacio I
cap I
a I
la I
cosificacio I
no I
en I
les I
nostres I
societats E
i O
l'entrada B
de I
l'unic I
anys I
tot I
poderos I
que I
mai I
perd I
la I
nostra I
societat E
aquest B
ens I
totpoderos I
es I
el I
sistema I
de I
mercat I
capitalista E
i O
si B
deixem I
que I
entri I
fara I
mal I
a I
les I
nostres I
germanes I
les I
nostres I
filles I
les I
nostres I
mares E
nosaltres O
hem O
vingut O
a O
defensar-les O
moltes O
gracies O
*** O
intro O
favour O
bona O
tarda O
avui O
des O
de O
l'equip O
de O
la O
universitat O
de O
lleida O
estem O
aqui O
a O
la O
universitat O
abad O
oliba O
per O
defensar O
la O
posicio O
a O
favor O
de O
la O
legalitzacio O
de O
la O
gestacio O
subrogada O
potser B
semblara I
que I
el I
concepte I
de I
gestacio I
subrogada I
es I
un I
concepte I
nou I
modern I
contemporani E
la B
resposta I
es I
que I
no E
perque O
ja B
fa I
dos I
mil I
anys I
que I
es I
va I
donar I
el I
primer I
cas I
de I
gestacio I
subrogada E
de B
fet I
no I
podria I
haver-hi I
millor I
indret I
que I
una I
esglesia I
per I
demostrar I
aixo E
i O
es O
que O
aqui B
tenim I
la I
primera I
evidencia I
de I
la I
gestacio I
subrogada E
no O
ens O
creuen O
doncs O
mirin O
alli B
tenim I
jesucrist I
i I
es I
que I
l'arcangel I
gabriel I
va I
plantar I
una I
llavor I
dins I
el I
ventre I
de I
la I
verge I
maria I
fruit I
aixi I
jesus I
fill I
de I
deu I
i I
de I
l'esperit I
sant E
el B
con I
text I
religios I
que I
aixo I
suposa I
es I
la I
practica I
d'una I
gestacio I
subrogada E
i O
es O
que O
jo O
soc O
nuria O
sorolla O
i O
el O
meu O
equip O
laura O
rey O
i O
icran O
mukush O
oriol O
casanoves O
i O
adria O
tersa O
el O
que O
venim O
aqui O
es O
a O
defensar O
el O
si B
de I
la I
legalitzacio I
de I
la I
gestacio I
subrogada E
un O
si O
perque O
aquesta B
es I
una I
realitat I
social I
que I
aqui I
espanya I
esta I
prohibida E
pero B
es I
una I
realitat I
social I
global I
internacional I
i I
que I
genera I
conflictes E
i O
es O
que O
nosaltres B
diem I
no I
a I
la I
mercantilitzacio E
i O
diem B
no I
als I
abusos I
i I
a I
la I
vulnerabilitat E
per O
aixo O
diem B
si I
a I
un I
model E
i O
us O
venim O
a O
presentar O
i O
es O
que O
aqui B
recau I
el I
nostre I
segon I
punt I
en I
el I
com E
generem O
un B
com I
altruista E
un B
com I
garantista E
i O
un B
com I
de I
requisits I
d'idoneitat E
i O
es B
que I
es I
necessari I
dir I
si I
a I
la I
legalitzacio I
de I
la I
gestacio I
subrogada I
per I
desincentivar I
l'interes I
a I
que I
la I
gent I
marxi I
a I
l'estranger I
on I
totes I
aquestes I
practiques I
nosaltres I
no I
les I
podem I
garantir E
es B
necessari I
de I
si I
en I
el I
nostre I
pais I
per I
poder I
garantir I
en I
base I
als I
tres I
arguments I
que I
els I
meus I
companys I
exposaran I
que I
son I
la I
naturalesa I
altruista I
les I
garanties I
de I
proteccio I
i I
els I
requisits I
d'idoneitat I
que I
exposa I
el I
nostre I
model I
per I
fer I
front I
a I
aquests I
conflictes I
que I
nosaltres I
no I
podem I
solucionar I
des I
del I
nostre I
pais E
i O
es O
que O
nosaltres O
som B
perfectament I
conscients I
de I
que I
la I
legalitzacio I
de I
les I
de I
subrogada I
podria I
suposar I
obrir I
una I
caixa I
de I
pandora E
una B
caixa I
de I
pandora I
on I
hi I
ha I
lloc I
a I
l'explotacio E
on B
hi I
ha I
lloc I
a I
la I
vulnerabilitat E
aprofitar-se B
de I
la I
vulnerabilitat I
de I
les I
dones E
pero B
jo I
soc I
dona I
i I
al I
meu I
equip I
hi I
ha I
dues I
dones I
i I
nosaltres I
com I
feministes I
el I
que I
volem I
es I
que I
les I
dones I
que I
veritablement I
es I
vulguin I
sotmetre I
aquestes I
practiques I
no I
es I
vegin I
viciades I
per I
una I
vulnerabilitat E
i O
es O
que O
nosaltres O
com O
ja O
els O
he O
dit O
presentarem O
tres B
arguments E
la B
naturalesa I
altruista E
les B
garanties I
de I
proteccio E
i O
els B
requisits I
d'idoneitat I
que I
cal I
complir I
perque I
no I
es I
generin I
aquests I
abusos E
i O
es O
que O
no B
es I
qualsevol I
gestacio I
subrogada E
acceptem B
el I
model I
que I
venim I
a I
proposar E
acceptem B
un I
si I
de I
la I
gestacio I
subrogada I
raonable E
un B
si I
d'una I
gestacio I
subrogada I
eticament I
sostenible E
es B
el I
si I
que I
nosaltres I
posem I
sobre I
la I
taula I
per I
fer I
front I
la I
realitat I
social I
que I
s'esta I
duent I
per I
regularitzar-ho I
aqui I
i I
combatre I
aqui I
la I
vulnerabilitat I
i I
l'explotacio I
de I
la I
dona E
nosaltres O
diem O
si B
a I
una I
gestacio I
subrogada I
eticament I
sostenible E
moltes O
gracies O
*** O
arg1 O
against O
be O
bona O
tarda O
estimat O
jurat O
estimat O
public O
estimats O
d'adversaris O
jo O
soc O
pablo O
hernandez O
i O
en O
el O
primer O
torn O
de O
reputacio O
m'agradaria B
comencar I
a I
parlar I
del I
famos I
cap I
de I
la I
familia I
campaner I
paradiso I
aquesta I
era I
una I
parella I
italiana I
en I
la I
qual I
la I
dona I
era I
infertil I
i I
per I
tant I
van I
decidir I
portar I
a I
terme I
la I
gestacio I
subrogada I
a I
italia I
de I
la I
dona I
gestant I
va I
tindre I
el I
fill I
i I
la I
familiar I
va I
poder I
inscriure I
en I
el I
registre I
civil I
de I
moscu I
fins I
aqui I
tot I
be E
el B
problema I
va I
arribar I
quan I
van I
voler I
portar I
el I
fill I
a I
italia I
i I
les I
autoritats I
italianes I
no I
van I
reconeixer I
el I
certificat I
de I
naixement I
per I
que I
perque I
italia I
la I
gestacio I
subrogada I
esta I
prohibida I
aquest I
cas I
va I
arribar I
a I
mans I
del I
tribunal I
dels I
drets I
humans I
el I
qual I
el I
dos I
mil I
quinze I
es I
va I
posicionar I
a I
favor I
de I
la I
familia I
no I
obstant I
dos I
anys I
despres I
el I
dos I
mil I
disset I
va I
canviar I
aquest I
posicionament I
per I
que I
degut I
a I
l'article I
huit I
del I
conveni I
de I
roma I
aquest I
article I
avala I
el I
dret I
de I
la I
proteccio I
a I
la I
vida I
familiar I
i I
la I
vida I
privada E
no B
es I
tant I
la I
interpretacio I
que I
va I
ser I
va I
fer I
aquest I
tribunal E
es B
que I
aquesta I
proteccio I
fa I
ja I
nomes I
es I
donen I
els I
casos I
de I
familia I
ja I
existents I
families I
que I
tenen I
vida E
no B
a I
la I
creacio I
d'una I
nova I
familia I
a I
qualsevol I
preu I
i I
passant I
per I
damunt I
de I
la I
dignitat I
de I
les I
persones E
per O
tant O
lo O
que O
vull O
que O
es O
quede O
clar O
a B
la I
conclusio I
que I
vull I
arribar I
en I
aquest I
cas I
es I
que I
la I
reproduccio I
no I
es I
un I
dret E
de O
reproduccio O
humana O
no O
es O
un O
dret O
realment O
ser B
pare I
o I
mare I
es I
un I
desig E
be O
posant O
l'exemple O
un O
altre O
organisme O
internacional O
com O
pot O
ser O
el B
parlament I
europeu I
aquest I
l'any I
dos I
mil I
quinze I
que I
en I
el I
seu I
informe I
anual I
sobre I
drets I
humans I
i I
democracia I
al I
mon I
va I
fer I
una I
esmena I
aprovada I
per I
majoria I
en I
la I
qual I
condemnava I
durament I
la I
gestacio I
subrogada I
per I
ser I
contraria I
a I
la I
dignitat I
humana I
ja I
que I
utilitzava I
la I
reproduccio I
de I
la I
dona I
com I
una I
materia I
prima E
be O
llavors O
arribat O
en O
aquest O
punt O
del O
debat O
el O
nostre O
equip O
es O
pregunta O
que O
es O
per O
natros O
la O
situacio O
de O
subrogada O
que O
comporta O
per O
a O
la O
dona O
si O
perque B
accepten I
vostes I
la I
donacio I
d'organs I
o I
la I
donacio I
d'ovuls I
de I
forma I
altruista I
pero I
no I
la I
gestacio I
subrogada E
perque O
el B
proces I
no I
es I
exactament I
el I
mateix E
la O
es B
un I
embaras I
es I
un I
proces I
que I
son I
nou I
mesos I
set I
dies I
a I
la I
setmana I
vint-i-quatre I
hores I
al I
dia E
si O
digui O
per B
que I
dramatitzen I
l'embaras I
si I
es I
un I
proces I
natural I
que I
ens I
ha I
acompanyat I
al I
llarg I
del I
temps I
vol I
incentivar I
que I
les I
dones I
no I
tinguin I
fills E
no B
no I
dramatitzar-ho I
el I
embaras E
dramatitzo B
el I
fet I
que I
s'utilitze I
una I
dona I
com I
aixo I
com I
una I
instrumentalitzacio E
es B
a I
dir I
utilitzar I
a I
un I
individu I
per I
tal I
de I
poder I
satisfer I
un I
desig I
personal E
llavorens O
tocant O
el O
tema O
que O
si O
diguem O
ha B
parlat I
voste I
abans I
de I
drets I
humans I
a I
casa I
no I
es I
un I
dret I
huma I
a I
la I
llibertat I
i I
la I
llibertat I
de I
tenir I
eleccio I
sobre I
el I
seu I
propi I
cost E
si B
es I
un I
dret I
o I
si I
es I
un I
dret I
huma E
el B
que I
no I
es I
un I
dret I
huma E
es O
la O
reproduccio O
humana O
llavors O
el B
que I
no I
es I
pot I
fer I
es I
passar I
per I
damunt I
per I
obtenir I
un I
desig E
passar B
per I
damunt I
de I
la I
dignitat I
d'una I
persona E
be O
continuant O
en B
la I
linia I
argumental I
que I
tocaria I
m'agradaria I
de I
tractar I
el I
tema I
altruista I
en I
espanya I
hi I
han I
hagut I
nou-cents I
setanta-nou I
noves I
inscripcions I
entre I
el I
dos I
mil I
deu I
i I
el I
dos I
mil I
setze I
de I
de I
families I
i I
de I
nous I
naixements I
en I
els I
quals I
la I
familia I
portaven I
el I
d'altres I
paisos I
a I
partir I
de I
la I
gestacio I
subrogada E
d'aquest B
nou-cents I
setanta-nou I
noves I
inscripcions I
el I
cinquanta-sis I
per I
cent I
provenien I
de I
alguns I
estats I
dels I
estats I
units I
i I
el I
vint-i-quatre I
per I
cent I
provenia I
d'ucraina E
paisos B
on I
la I
gestacio I
subrogada I
es I
permet I
la I
seva I
comercialitzacio E
no O
obstant O
nomes B
quatre I
nadons I
i I
no I
estic I
dient I
el I
quatre I
per I
cent I
sino I
quatre I
nadons I
provenien I
del I
regne I
unit E
i O
quatre B
nadons I
provenien I
de I
canada E
per O
tant O
realment O
pensem O
que O
amb B
la I
gestacio I
subrogada I
altruista I
es I
podria I
arribar I
a I
cobrir I
tota I
la I
demanda E
la B
veritat I
es I
que I
no E
per O
tant O
arribem O
a O
la O
seguent O
reflexio O
realment O
es O
possible O
una O
gestacio O
subrogada O
altruista O
si O
voste B
fa I
referencia I
als I
drets I
humans I
em I
podria I
citar I
sisplau I
quins I
son I
els I
drets I
humans I
que I
apel*la I
i I
que I
viola I
la I
nostra I
proposicio E
el B
dret I
a I
la I
dignitat I
humana E
es B
a I
dir I
per I
a I
natros I
lo I
que I
fas I
es I
utilitzar I
una I
persona I
instrumentalitzar-los I
i I
per I
tant I
passar I
per I
damunt I
de I
la I
seua I
dignitat E
tal O
i O
com B
diu I
kant I
es I
a I
dir I
ser I
la I
la I
dona I
es I
converteix I
en I
un I
mitja I
i I
no I
en I
un I
fi E
be O
podem B
arribar I
realment I
a I
un I
proces I
de I
gestacio I
subrogada I
altruista E
com B
realment I
podem I
garantir I
que I
la I
dona I
no I
acceptes I
una I
transaccio I
economica E
realment O
no B
es I
pot E
nosaltres O
veiem B
una I
similitud I
amb I
el I
que I
passa I
en I
els I
matrimonis I
de I
conveniencia E
es O
a O
dir O
teoricament B
el I
matrimoni I
es I
un I
acord I
altruista I
no I
obstant I
hi I
ha I
hagut I
casos I
en I
els I
quals I
una I
part I
s'aprofita I
de I
la I
vulnerabilitat I
d'una I
altra I
part I
per I
tal I
d'obtenir I
un I
benefici I
propi E
llavorens O
en B
la I
gestacio I
subrogada I
podria I
passar I
exactament I
el I
mateix E
es B
a I
dir I
posar I
una I
suposada I
facana I
d'altruisme I
per I
en I
el I
fons I
violar I
la I
dignitat I
de I
la I
dona E
i O
es O
cert O
que O
han B
hagut I
casos I
d'altruisme E
es B
a I
dir I
membres I
de I
familia I
que I
decidixen I
gestar I
un I
nado I
per I
un I
altre I
membre I
de I
la I
familia E
pero B
no I
ens I
oblidem I
aixo I
es I
un I
cas I
molt I
minoritari E
la B
majoria I
de I
casos I
es I
totalment I
el I
contrari E
per O
tant O
realment O
volem B
per I
tal I
de I
satisfer I
un I
desig I
d'una I
minoria I
molt I
molt I
petita I
de I
la I
poblacio I
per I
passar I
per I
damunt I
de I
la I
dignitat I
de I
la I
immensa I
majoria E
moltes O
gracies O
*** O
arg1 O
favour O
s'hauria B
de I
legalitzar I
la I
gestacio I
subrogada I
bona I
tarda I
jo I
oriol I
casanovas I
en I
representacio I
a I
la I
universitat I
de I
lleida I
diem I
que I
si I
i I
diem I
que I
si I
amb I
un I
perque I
i I
com I
per I
que I
precisament I
per I
les I
aberracions I
les I
males I
practiques I
els I
abusos I
els I
defectes I
vergonyosos I
dels I
models I
practicats I
a I
l'estranger E
es O
que O
vostes B
critiquen E
amb O
aixo O
hi B
estem I
d'acord E
i O
com O
ho B
fem I
a I
traves I
d'un I
model I
un I
model I
que I
s'inspira I
en I
uns I
principis I
rectors E
dels O
quals O
s'aixequen O
els O
tres O
arguments O
principals O
que O
ha O
citat O
la B
meva I
companya I
la I
naturalesa I
altruista I
les I
garanties I
de I
proteccio I
i I
els I
requisits I
d'idoneitat I
i I
segueixo I
amb I
el I
per I
que I
per I
que I
pel I
que I
vostes I
mateix I
estan I
defensant I
la I
inseguretat I
juridica I
que I
aixo I
provoca I
les I
vulneracions I
de I
drets I
i I
llibertats I
de I
la I
dona E
per B
la I
mercantilitzacio I
que I
es I
practica I
als I
paisos I
estrangers E
per B
la I
inhumanitat I
de I
les I
condicions I
que I
succeeixen I
en I
altres I
paisos I
per I
les I
consequencies I
biologiques I
fisiques I
i I
psiquiques E
per B
garantir I
que I
no I
siguin I
vulnerables E
per B
la I
cosificacio I
que I
vostes I
tambe I
es I
referien E
i O
al O
final O
no B
podem I
evitar I
la I
globalitzacio E
no B
es I
la I
nostra I
culpa I
que I
els I
paisos I
tercers I
legalitzin I
de I
forma I
erronia E
nosaltres B
ho I
volem I
fer I
tenint I
en I
compte I
les I
vostres I
critiques E
i O
per O
aixo O
us B
tendim I
la I
ma I
precisament I
perque I
les I
vostres I
critiques I
fan I
el I
nostre I
model I
i I
al I
final I
tenim I
una I
caixa I
de I
pandora E
com O
citava O
la O
meva O
companya O
nuria O
oberta O
i O
lo O
que O
nosaltres O
volem B
fer I
es I
tancar-la I
amb I
aquesta I
proposta I
de I
model E
perque O
mirin O
ja O
sabem O
que O
no B
hi I
ha I
el I
dret I
a I
ser I
pares E
el B
dret I
a I
reproduir-se E
el B
dret I
a I
les I
tecniques I
de I
reproduccio I
assistida E
per B
aixo I
es I
com I
el I
rasca I
i I
guanya I
si I
em I
permeten I
invitar-los I
a I
jugar I
un I
moment I
que I
hi I
veuen I
aqui I
una I
franja I
gris I
no I
hi I
veiem I
res I
pero I
si I
rasquem I
que I
hi I
trobem I
hi I
trobem I
la I
dignitat I
la I
llibertat E
el B
lliure I
desenvolupament I
de I
la I
personalitat E
trobem B
la I
no-discriminacio I
del I
col*lectiu I
lgtbi E
trobem B
la I
dignitat I
i I
la I
solidaritat E
i O
aixo B
no I
nomes I
ho I
diem I
nosaltres I
ho I
diu I
eleonora I
lam I
doctora I
de I
la I
universitat I
de I
barcelona I
i I
experta I
en I
la I
gestacio I
subrogada E
per O
tant O
en B
comptes I
de I
rascar I
regulem I
a I
favor E
i O
garantim B
i O
legalitzem B
la I
gestacio I
subrogada I
per I
guanyar I
en I
drets I
i I
llibertats E
digui O
per B
tant I
podem I
concloure I
que I
el I
seu I
argument I
a I
favor I
de I
la I
legalitzar I
aqui I
es I
la I
mala I
legalitzacio I
en I
paisos I
subdesenvolupats E
totalment O
totalment O
podem B
concloure I
i I
podem I
afirmar I
ara I
mateix I
que I
les I
males I
practiques I
construeixen I
el I
nostre I
model E
perque O
volem B
legalitzar I
de I
forma I
correcta I
amb I
garanties E
garantint B
al I
final I
la I
llibertat I
de I
la I
dona E
perque O
qui B
son I
vostes I
per I
dir I
el I
que I
la I
meva I
companya I
pot I
fer I
o I
deixar I
de I
fer I
si I
vol I
ajudar I
una I
persona I
que I
no I
pot I
tindre I
fills E
qui O
son O
vostes O
i O
segueixo O
amb O
el O
nostre O
model O
que O
proposem O
la O
naturalesa O
altruista O
el O
primer O
argument O
mirin O
amb O
aixo O
em O
recorden O
stuart B
mill I
stuart I
mill I
deia I
ningu I
neix I
altruista I
pero I
amb I
educacio I
una I
persona I
desenvolupa I
la I
personalitat I
que I
caracteritza I
l'altruisme E
i O
el B
nostre I
model I
precisament I
el I
que I
vol I
es I
que I
no I
remuneri I
el I
el I
fet I
de I
tindre I
un I
fill I
i I
estar I
per I
una I
tercera I
persona E
no B
hi I
ha I
cap I
tipus I
de I
preu I
negociable E
no B
hi I
ha I
mercantilitzacio E
com B
a I
molt I
hi I
haura I
una I
compensacio I
de I
rescabalament I
que I
pretendra I
preten I
precisament I
evitar I
que I
hi I
hagi I
un I
perjudici I
a I
la I
integritat I
fisica I
de I
la I
dona E
i O
com O
deia O
el O
meu O
company O
estan B
en I
contra I
de I
la I
donacio I
d'organs E
perque O
si B
estan I
criticant I
el I
fet I
que I
algu I
pugui I
realitzar I
un I
sacrifici I
personal I
per I
ajudar I
una I
tercera I
persona I
com I
es I
el I
fet I
de I
per I
exemple I
donar I
un I
ronyo I
per I
que I
no I
ho I
podem I
fer I
amb I
el I
fet I
de I
cedir I
un I
ventre I
per I
una I
tercera I
persona E
digui O
i B
si I
voste I
te I
en I
compte I
aquesta I
amenaca I
de I
mala I
legalitzacio I
perque I
no I
combat I
a I
la I
legalitzacio I
dels I
paisos I
d'origen E
sap O
que O
passa O
que O
aixo B
es I
dret I
internacional I
privat I
i I
nosaltres I
no I
podem I
fer I
res I
pel I
que I
fa I
a I
la I
sobirania I
nacional I
dels I
paisos I
tercers E
i O
aixo O
per B
desgracia I
no I
podem I
fer-hi I
res E
pero B
el I
que I
si I
que I
podem I
fer I
es I
legalitzar I
perque I
tancariem I
la I
caixa I
de I
pandora I
que I
provoca I
que I
persones I
nacionals I
espanyoles I
vagin I
a I
paisos I
tercers E
i O
per B
aixo I
mateix I
nosaltres I
el I
nostre I
model I
proposa I
les I
garanties I
de I
proteccio E
i O
ho B
fem I
a I
traves I
del I
sistema I
sanitari I
espanyol I
el I
qual I
te I
unes I
infraestructures I
privilegiades E
ja O
que O
som B
el I
primer I
pais I
pel I
que I
fa I
al I
index I
de I
paisos I
mes I
saludables I
del I
mon E
som B
el I
segon I
pel I
que I
fa I
molts I
tractables I
per I
cada I
cent I
mil I
habitants E
i O
el B
primer I
en I
esperanca I
de I
vida I
sabent I
que I
el I
noranta-nou I
coma I
nou I
per I
cent I
de I
la I
poblacio I
espanyola I
esta I
coberta I
pel I
sistema I
nacional I
de I
salut E
per O
tant O
som B
pioners I
mundialment E
i O
podem B
garantir I
aquesta I
seguretat E
i O
si O
ens O
comparen O
per O
exemple O
paisos B
com I
estats I
units I
on I
no I
tenen I
aquesta I
estabilitat I
aquest I
estat I
benestar I
amb I
la I
sanitat I
que I
es I
privada I
i I
que I
a I
mes I
a I
mes I
s'ha I
de I
pagar I
un I
preu I
per I
gestar I
un I
fill E
aixo B
no I
ho I
compartim E
no O
ens O
ho O
comparin O
perque O
aquest B
no I
es I
el I
nostre I
model E
el B
nostre I
model I
es I
altruista E
i O
a O
mes O
a O
mes O
seguim O
el O
seguent O
punt O
de O
les O
garanties O
l'interes O
superior O
del O
menor O
la B
direccio I
general I
del I
registre I
notariat I
basant-se I
en I
la I
convencio I
de I
drets I
dels I
infants I
ha I
dit I
que I
tenen I
dret I
a I
una I
nacionalitat E
aquests B
infants I
que I
han I
realitzat I
la I
gestacio I
subrogada I
en I
paisos I
tercers I
per I
molt I
que I
hi I
hagin I
nascut E
i O
vostes B
poden I
estar I
en I
contra I
de I
la I
gestacio I
subrogada E
pero B
el I
que I
no I
poden I
estar I
en I
contra I
es I
de I
l'interes I
superior I
del I
menor E
i O
ni B
granges I
ni I
vendes I
d'alquiler E
no B
volem I
sentir I
res I
sobre I
aixo E
i O
el B
tribunal I
suprem I
ha I
estat I
expressant I
en I
la I
mateixa I
posicio E
perque O
negar-los B
la I
maternitat I
aquests I
fills I
que I
han I
nascut I
es I
discriminar-nos E
i O
al O
final O
es B
la I
igualtat I
amb I
independencia I
de I
la I
seva I
filiacio E
per O
tant O
estem B
a I
favor I
de I
legalitzar I
la I
gestacio I
subrogada I
amb I
una I
naturalesa I
naturalesa I
altruista I
amb I
unes I
garanties I
per I
de I
proteccio I
i I
amb I
uns I
requisits I
d'idoneitat E
moltes O
gracies O
*** O
arg2 O
against O
bona O
tarda O
jo O
soc O
l'aleix O
membre O
del O
equip O
de O
la O
uab O
quan B
parlem I
de I
gestacio I
subrogada I
aqui I
a I
occident I
sempre I
tendim I
a I
mirar-nos I
el I
nostre I
melic E
a B
no I
anar I
mes I
enlla I
de I
les I
nostres I
fronteres E
inclus O
ens B
permetem I
la I
llicencia I
de I
dir I
no I
es I
que I
jo I
vull I
un I
model I
altruista E
es B
que I
m'agradaria I
que I
el I
meu I
pais I
aplicare I
un I
model I
com I
el I
del I
regne I
unit E
vull B
que I
un I
pais I
com I
l'estatunidenc E
pero O
baixem O
a O
la B
realitat I
la I
major I
part I
de I
les I
dones I
del I
mon I
es I
troben I
en I
paisos I
subdesenvolupats I
o I
en I
vies I
de I
desenvolupament E
en B
aquests I
paisos I
no I
respecten I
ni I
els I
drets I
humans E
vosaltres O
creieu O
realment O
que O
si B
no I
respecten I
els I
drets I
humans I
van I
a I
respectar I
els I
drets I
de I
les I
dones I
gestants E
la O
meva O
resposta O
es O
ben O
clara O
no O
si B
company I
si I
amb I
el I
nostre I
sistema I
que I
permet I
la I
gestacio I
subrogada I
altruista I
voluntaria I
i I
garant I
i I
fent I
referencia I
la I
introduccio I
pot I
dir-li I
a I
la I
meva I
companya I
que I
vols I
estar I
de I
forma I
subrogada I
que I
es I
i I
cito I
textualment I
una I
prostituta I
i I
una I
esclava E
jo O
en B
cap I
moment I
m'estic I
referint I
a I
occident E
m'estic B
referint I
a I
nivell I
global E
la B
majoria I
de I
dones I
es I
veurien I
en I
aquesta I
situacio I
en I
aquests I
paisos I
on I
se I
vulneren I
els I
seus I
drets E
tambe B
se I
vulnerarien I
els I
seus I
drets I
com I
a I
gestants E
sabeu O
i O
es O
que O
si O
ara O
mateix O
ja O
s'ha B
creat I
un I
mercat I
low I
cost I
de I
roba I
no I
que I
es I
el I
majoritari E
que O
creieu O
que O
passaria O
en O
la O
gestacio O
