ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
24,INTRO,,FAVOUR,19,RA,la millor manera de solventar la terrible situació de desprotecció que genera amb aquesta manca de regulació és legalitzant la maternitat subrogada,la mejor manera de solventar la terrible situación de desprotección que genera con esta carencia de regulación es legalizando la maternidad subrogada,the best mode of solventar the terrible situation of desprotecció that generates with this lack of regulation is legalising the surrogacy
25,INTRO,,FAVOUR,8;9;10,MA,és a dir per protegir i garantitzar a totes les parts implicades,es decir para proteger y garantitzar a todas las partes implicadas,that is to say to protect and garantitzar at all the parts implied
26,INTRO,,FAVOUR,,,actualment la maternitat subrogada no reconeix la nacionalitat al menor nascut per gestació subrogada en un altre país,actualmente la maternidad subrogada no reconoce la nacionalidad al menor nacido por gestación subrogada en otro país,at present the surrogacy does not recognise the nationality at the minor been born by surrogacy at another country
27,INTRO,,FAVOUR,26,RA,no se li dóna nacionalitat espanyola,no se le da nacionalidad española,no gives him Spanish nationality
28,INTRO,,FAVOUR,27,RA,fent així que no quedi emparat sota l'ordenament jurídic espanyol,haciendo así que no quede amparado bajo el ordenamiento jurídico español,making so it do not stay protected under the Spanish juridical arranging
29,INTRO,,FAVOUR,28,RA,i no pugui utilitzar els drets i llibertats que amb això concedeixen,y no pueda utilizar los derechos y libertades que con esto conceden,and can not utilise the laws and liberties that with this concede
30,INTRO,,FAVOUR,28;19;29,MA,és a dir des del primer moment no es reconeix aquest nou ciutadà,es decir desde el primer momento no se reconoce este nuevo ciudadano,that is to say since the first moment does not recognise  this new citizen
31,INTRO,,FAVOUR,9;20,RA,el fet que no hi hagi una legalització comporta perjudicis cap als pares,el hecho que no haya una legalización comporta perjuicios hacia los padres,the fact that there is not a legalisation comports damages to the parents
32,INTRO,,FAVOUR,31,RA,com són l'existència desigualtats econòmiques i socials,como son la existencia desigualdades económicas y sociales,how are the existence economic and social inequalities
33,INTRO,,FAVOUR,32,RA,que tanca la porta a aquesta oportunitat de ser pares,que cierra la puerta a esta oportunidad de ser pares,that shuts the door at this opportunity of being pause
34,INTRO,,FAVOUR,9,RA,el fet de legalitzar-ho comportaria beneficis per a la dona gestant,el hecho de legalizarlo comportaría beneficios para la mujer gestante,the fact to legalise it would comport benefits for the wife gestant
35,INTRO,,FAVOUR,34,RA,en tant que pot escollir voluntàriament de dur a terme la gestació subrogada,en cuanto que puede escoger voluntariamente de llevar a cabo la gestación subrogada,at so much that can choose voluntarily to carry out the surrogacy
36,INTRO,,FAVOUR,34,RA,poder estar ben informada i conscienciada dels riscos que comporta,poder estar muy informada y concienciada de los riesgos que comporta,can be well informed and conscienciada of the risks that gate
37,INTRO,,FAVOUR,34,RA,i poder estar ben protegida tant jurídica com clínicament,y poder estar muy protegida tanto jurídica como clínicamente,and can be well protected so much juridical and clinically
38,INTRO,,FAVOUR,37,MA,donat que no existeix una llibertat sense protecció,dado que no existe una libertad sin protección,given that it does not exist a liberty without protection
39,INTRO,,FAVOUR,,,una proposta molt concisa del grup d'ètica bona pràctica de la societat espanyola amb tres propostes,una propuesta muy concisa del grupo de ética buena práctica de la sociedad española con tres propuestas,a very concise proposal of the band of ethic good practice of the Spanish society with three proposals
40,INTRO,,FAVOUR,39,RA,es tracta d'una excepcionalitat,se trata de una excepcionalidad,treats  of an excepcionalitat
41,INTRO,,FAVOUR,40,MA,és a dir que s'han d'haver gastat les demés vies per tenir fills,es decir que se tienen que haber gastado las demés vías para tener hijos,that is to say that have to have  spent the demés roads to have children
42,INTRO,,FAVOUR,39,RA,s'han de complir uns requisits,se tienen que cumplir unos requisitos,have to conform  some requisites
43,INTRO,,FAVOUR,42,RA,la dona gestant ha de tenir una capacitat física una maduresa psicològica,la mujer gestante tiene que tener una capacidad física una madurez psicológica,the wife gestant has to have a physical capacity a psychological maturity
44,INTRO,,FAVOUR,42,RA,ha d'estar en una bona situació econòmica,tiene que estar en una buena situación económica,has to be at a good economic situation
45,INTRO,,FAVOUR,42,RA,i que no hagi tingut un fill propi,y que no haya tenido un hijo propio,and that it have not had an own son
46,INTRO,,FAVOUR,39,RA,ha de ser una situació altruista,tiene que ser una situación altruista,has to be an altruistic situation
47,INTRO,,FAVOUR,46,RA,no pot haver-hi una contraposició econòmica,no puede haber una contraposición económica,can not have an economic comparison
48,INTRO,,AGAINST,,,me van prometre llar alimentació i col·legi per als meus fills,me prometieron hogar alimentación y colegio para mis hijos,promised me home supply and school for my children
49,INTRO,,AGAINST,,,no hi havia llum no havíen mòbils,no había luz no havíen móviles,there was not light no havíen mobiles
50,INTRO,,AGAINST,49,RA,era horrible,era horrible,was horrible
51,INTRO,,AGAINST,50,RA,a la setmana ja volia regressar a casa,en la semana ya quería regresar a casa,by the week already wanted to return at house
52,INTRO,,AGAINST,,,el maltracte psicològic era tan gran,lo maltrato psicológico era tan grande,abuse it psychological was as big
53,INTRO,,AGAINST,52,RA,em van amenaçar de que si me n'anava havia de cobrir els gastos ocasionats,me amenazaron de que si me iba tenía que cubrir los gastos ocasionados,loomed me of that if it went  me had to coat the gastos ocasionats
54,INTRO,,AGAINST,,,el meu marit no té treball i la nostra situació econòmica és tan complicada,mi marido no tiene trabajo y nuestra situación económica es tan complicada,my husband does not have work and our economic situation is as complicated
55,INTRO,,AGAINST,54,RA,pensaren que prestar el meu cos seria posar fi a les nostres situacions econòmiques,pensaron que prestar mi cuerpo seria poner fin a nuestras situaciones económicas,thought that loan my body would be to pose end at our economic situations
56,INTRO,,AGAINST,49;50;51;52;53;54;55,RA,aquestes són les paraules de selen,estas son las palabras de selen,these are the words of selen
57,INTRO,,AGAINST,56,RA,este és un cas real,este es un caso real,este is a real case
58,INTRO,,AGAINST,57,RA,com molts altres de dones procedents de països emergents,como otros muchos de mujeres procedentes de países emergentes,like many others of pertinent wives of emergent countries
59,INTRO,,AGAINST,58,RA,on hi han desigualtats econòmiquese,donde han desigualdades econòmiquese,where have  inequalities econòmiquese
60,INTRO,,AGAINST,58,RA,la majoria d'elles necessiten els diners per subsistir,la mayoría de ellas necesitan el dinero para subsistir,most of they need the money for subsistir
61,INTRO,,AGAINST,,,la legalització de la gestació subrogada suposaria legalitzar parlamentàriament la cosificació de la dona,la legalización de la gestación subrogada supondría legalizar parlamentariamente la cosificación de la mujer,the legalisation of the surrogacy would suppose to legalise parlamentàriament the reification of the wife
62,INTRO,,AGAINST,61,RA,la mercantilització de les entranyes,la mercantilización de las entrañas,the mercantilització of the entranyes
63,INTRO,,AGAINST,,,no hi ha contraprestació econòmica possible a l'impacte d'un embaràs o un part en termes físics ni psicològics,no hay contraprestación económica posible al impacto de un embarazo o un parto en términos físicos ni psicológicos,there is not contraprestació economic possible at the impact of a pregnancy or one part at physical terms or psychological
64,INTRO,,AGAINST,63,RA,ni garanties que ens protegisquen,ni garantías que nos protejan,or guarantees that protect us
65,INTRO,,AGAINST,64;67,RA,açò no ho pot mesurar el mercat,esto no lo puede mesurar el mercado,this can not it measure the market
66,INTRO,,AGAINST,65,RA,és la línia que no debem de creuar,es la línea que no debem de cruzar,is the line that no debem to cross
67,INTRO,,AGAINST,66,RA,l'últim reducte que ens queda la nostra integritat física i psicològica la nostra dignitat,el último reducto que nos queda nuestra integridad física y psicológica nuestra dignidad,the last redoubt that stays us our physical and psychological integrity our dignity
68,INTRO,,AGAINST,61,RA,cap país que es considere defensor dels drets humans pot legitimar que el nostre cos siga un negoci,ningún país que se considere defensor de los derechos humanos puede legitimar que nuestro cuerpo sea un negocio,any country that consider  defender of the human laws can legitimate that our body was a bargain
69,INTRO,,AGAINST,,,en segon lloc la feminització de la pobresa i la necessitat econòmica fan que la maternitat subrogada prospere com una opció per a les dones més vulnerables,en segundo lugar la feminización de la pobreza y la necesidad económica hacen que la maternidad subrogada prospero como una opción para las mujeres más vulnerables,in the second place the feminització of the poverty and the economic necessity make that the surrogacy prosper like an option for the most vulnerable wives
70,INTRO,,AGAINST,69,RA,per tant estaríem davant de la fal·làcia de la lliure  elecció,por lo tanto estaríamos ante la falacia de la libre elección,therefore we would be in front of the fallacy of the free election
71,INTRO,,AGAINST,69,RA,la legalització de la gestació subrogada suposaria fer un pas cap a la desigualtat cap a la feminització de la pobresa,la legalización de la gestación subrogada supondría dar un paso hacia la desigualdad hacia la feminización de la pobreza,the legalisation of the surrogacy would suppose to step to the inequality to the feminització of the poverty
72,INTRO,,AGAINST,71,RA,les dones en situació de vulnerabilitat es veurien abocades a prestar aquest tipus de servici,las mujeres en situación de vulnerabilidad se verían abocadas a prestar este tipo de servicio,the wives at situation of vulnerability would view  tipped to loan this type of service
73,INTRO,,AGAINST,72,RA,a més de patir els abusos del sistema capitalista,además de sufrir los abusos del sistema capitalista,in addition to suffering the abuses of the capitalist system
74,INTRO,,AGAINST,73,RA,que s'encarregaria i és com està passant d'exprimir-les,que se encargaría y es como está pasando de exprimir-las,that would commission  and is how is passing of exprimir-the
75,INTRO,,AGAINST,73,RA,treure'ls al màxim rendiment i benefici,sacarlos al máximo rendimiento y beneficio,remove them at the maximum performance and benefit
76,INTRO,,AGAINST,75,RA,precaritzant com sempre la seva situació,precaritzant como siempre su situación,precaritzant as ever his situation
77,INTRO,,AGAINST,70,RA,no podem relacionar necessitat amb llibertat,no podemos relacionar necesidad con libertado,can not relate necessity with liberty
78,INTRO,,AGAINST,77,RA,la llibertat com dia el quixot és un dels dons del cel,la libertad como día lo quixot es uno de los dones del cielo,the liberty like day the quixot is one of the gifts of the sky
79,INTRO,,AGAINST,78,RA,pel qual les persones deben invertir el seu do en la seva vida,por el cual las personas deben invertir su do en su vida,for which the persons deben invert his gift at his life
80,INTRO,,AGAINST,79,MA,però no existix llibertat quan les misèries,pero no existe libertad cuando las miserias,but does not exist liberty when the miseries
81,INTRO,,AGAINST,80,RA,quan les situacions econòmiques o quan una ordre t'obliga a profitar el teu cos,cuando las situaciones económicas o cuando una orden te obliga a profitar tu cuerpo,when the economic situations or when an order obliges you at profitar your body
82,INTRO,,AGAINST,81,RA,perquè tracten experimenten o comercien amb ell,porque tratan experimentan o comercian con él,so that they treat experiment or trade with him
83,INTRO,,AGAINST,,,ser mare o pare no és un dret ,ser madre o padre no es un derecho,be mother or father is not a law
84,INTRO,,AGAINST,,,és un desig,es un deseo,is a wish
85,INTRO,,AGAINST,83,RA,en cas de no ser-ho per mitjans naturals existeixen nombroses alternatives,en caso de no serlo por medios naturales existen numerosas alternativas,at case of not to be it for natural modes exist numerous alternatives
86,INTRO,,AGAINST,,,el sistema de consum voraç en el que vivim ens ha ensenyat a que podem tindre tot el que vulguem mitjan pagament,el sistema de consumo voraz en el que vivimos nos ha enseñado a que podemos tener todo el que queramos mitjan pago,the system of ravenous consumption at what live has taught us at that we can have everything what want to mitjan payment
87,INTRO,,AGAINST,86,RA,però a càrrec de la integritat física i psicològica d'una altra dona,pero a cargo de la integridad física y psicológica de otra mujer,but at charge of the physical and psychological integrity of another wife
88,INTRO,,AGAINST,87,RA,no,no,no
89,INTRO,,AGAINST,,,deurien d'apostar per l'adopció,deberían de apostar por la adopción,would owe to bet for the adoption
90,INTRO,,AGAINST,89,RA,millorant els mecanismes de l'adopció,mejorando los mecanismos de la adopción,improving the mechanisms of the adoption
91,INTRO,,AGAINST,89,RA,millons de xiquets del món ahí fora per diversos motius estan sent abandonat,millons de niños del mundo ahí fuera por varios motivos están siendo abandonado,millons of children in the world ahí out for several motifs are being abandoned
92,ARG1 ,1.0,FAVOUR,61,MA,han parlat de què  s'està objectivitant a la dona,han hablado de que se está objectivitant a la mujer,have talked of what is  objectivitant at the wife
93,ARG1 ,1.0,FAVOUR,92,MA,és l'estat qui està objectivitza la dona,es el estado quien está objectivitza la mujer,is the state who is objectivitza the wife
94,ARG1 ,1.0,FAVOUR,93,RA,en tant que no li deixa escollir,en cuanto que no le deja escoger,at so much that does not let him choose
95,ARG1 ,1.0,FAVOUR,94,RA,no té llibertat per decidir,no tiene libertad para decidir,does not have liberty to decide
96,ARG1 ,1.0,FAVOUR,93,RA,l'està tractant com una nena petita,lo está tratando como una niña pequeña,is treating it how a small girl
97,ARG1 ,1.0,FAVOUR,,,han parlat d'una lliure elecció que genera una desigualtat,han hablado de una libre elección que genera una desigualdad,have talked of a free election that generates an inequality
98,ARG1 ,1.0,FAVOUR,97,RA,i que presten abusos en tant que les dones ho farien en relació a la necessitat ,y que presten abusos en cuanto que las mujeres lo harían en relación a la necesitado,and that they loan abuses at so much that the wives would make it at account at the necessity
99,ARG1 ,1.0,FAVOUR,98,MA,i no a la llibertat i estarien com esclavitzades,y no a la libertad y estarían como esclavizadas,and no at the liberty and would be how enslaved
100,ARG1 ,1.0,FAVOUR,99,RA,hi ha un control judicial,hay un control judicial,there is a judicial control
101,ARG1 ,1.0,FAVOUR,98,MA,no hi haurà una compensació econòmica,no habrá una compensación económica,there will not be an economic compensation
102,ARG1 ,1.0,FAVOUR,101,RA,per tant aquesta necessitat desapareixeria,por lo tanto esta necesidad desaparecería,therefore this necessity would disappear
103,ARG1 ,1.0,FAVOUR,102,RA,seria pel fet de l'altruisme,seria por el hecho del altruismo,would be for the fact of the altruism
104,ARG1 ,2.0,FAVOUR,83,CA,estem dient és que podem donar una oportunitat a altres persones que no poden tenir fills biològics,estamos diciendo es que podemos dar una oportunidad a otras personas que no pueden tener hijos biológicos,are saying is that we can give an opportunity at other persons that can not have biological children
105,ARG1 ,2.0,FAVOUR,89,MA,com deien que l'adopció és una bona manera de substituir-ho,como decían que la adopción es una buena manera de sustituirlo,how said that the adoption is a good mode to substitute it
106,ARG1 ,2.0,FAVOUR,105,MA,l'adopció l'únic que és un complement,la adopción el único que es un complemento,the adoption the only that is a complement
107,ARG1 ,2.0,FAVOUR,106,RA,pot haver la gestació subrogada i la adopció,puede haber la gestación subrogada y la adopción,can have the surrogacy and the adoption
108,ARG1 ,,AGAINST,103,MA,has parlat de l'altruisme com la solució per a tots els problemes del món,has hablado del altruismo como la solución para todos los problemas del mundo,have talked of the altruism how the solution for all the problems in the world
109,ARG1 ,,AGAINST,108,MA,no sembla un poquet utòpic,no parece un poquito utópico,does not seem a poquet utopian
110,ARG1 ,1.0,FAVOUR,108,CA,no he parlat de l'altruisme com la solució de tot el món,no he hablado del altruismo como la solución de todo el mundo,have not talked of the altruism how the solution of all the world
111,ARG1 ,1.0,FAVOUR,110,RA,sinó a través de la proposta estaríem evitant que hi hagués una contraprestació econòmica,sino a través de la propuesta estaríamos evitando que hubiera una contraprestación económica,but through the proposal would be eschewing that there was a contraprestació economic
112,ARG1 ,1.0,FAVOUR,110,RA,dintre la nostra proposta estaríem regulant i controlant aquest altruisme,dentro nuestra propuesta estaríamos regulando y controlando este altruismo,inside our proposal would be regulating and controlling this altruism
113,ARG1 ,1.0,FAVOUR,112,RA,i per tant seria real i es podria realitzar,y por tanto sería real y se podría realizar,and therefore it would be real and could realise
114,ARG1 ,3.0,FAVOUR,112,RA,ara mateix hi ha una no legalització,ahora mismo hay una no legalización,right now there is one no legalisation
115,ARG1 ,3.0,FAVOUR,114,RA,aquesta no legalització que comporta doncs que hi hagi problemes a la societat,esta no legalización que compuerta pues que haya problemas a la sociedad,this no legalisation that gate then that there are problems at the society
116,ARG1 ,3.0,FAVOUR,115,RA,com ho solucionem,como lo solucionamos,how solve it
117,ARG1 ,3.0,FAVOUR,116,RA,legalitzant-ho,legalizándolo,legalising it
118,ARG1 ,3.0,FAVOUR,,,hi ha molt poques garanties cap als nens,hay muy pocas garantías hacia los niños,there is very few guarantees to the boys
119,ARG1 ,3.0,FAVOUR,1;118,RA,perquè hi ha famílies que estan atrapades a ucrania o a diversos països en els que actualment no poden tornar,porque hay familias que están atrapadas a ucrania o en varios países en los que actualmente no pueden volver,so that there are families that are trapped at ucrania or at several countries at those that at present can not return
120,ARG1 ,3.0,FAVOUR,119,RA,perquè no tenen la nacionalitat els nens,porque no tienen la nacionalidad los niños,so that do not have the nationality the boys
121,ARG1 ,3.0,FAVOUR,119,RA,perquè no hi haurà un ordenament jurídic que els avali que els protegeixi,porque no habrá un ordenamiento jurídico que los avale que los proteja,so that there will not be a juridical arranging that endorse the ones that it protect the ones
122,ARG1 ,3.0,FAVOUR,118,RA,l'interès del superior del menor quedarà tapat en aquest moment,el interés del superior del menor quedará tapado en este momento,the interest of the superior of the minor will stay covered at this moment in time
123,ARG1 ,3.0,FAVOUR,120,RA,la legalització sí que portarà el fet que sí que tindran aquesta nacionalitat i estaran protegits,la legalización sí que llevará el hecho que sí que tendrán esta nacionalidad y estarán protegidos,the legalisation aye that it will take the fact that aye that will this nationality and will be protected
124,ARG1 ,3.0,FAVOUR,,,les relacions que poden sortir en relació a les famílies en el cas que no estigui regulat,las relaciones que pueden salir en relación a las familias en el supuesto de que no esté regulado,the accounts that can exit at account at the families at the case that was not regulated
125,ARG1 ,3.0,FAVOUR,124,RA,pot generar diverses problemàtiques,puede generar varias problemáticas,can generate several problematic
126,ARG1 ,3.0,FAVOUR,124,MA,però en el cas que estigui regulat no hi haurà cap problemàtica en relació a la situació del menor,pero en el supuesto de que esté regulado no habrá ninguna problemática en relación a la situación del menor,but at the case that was regulated there will not be problematic boss at account at the situation of the minor
127,ARG1 ,3.0,FAVOUR,118,RA,per tant estem vetllant un altre cop l'interès del menor,por lo tanto estamos velando otra vez el interés del menor,therefore we are watching again the interest of the minor
128,ARG1 ,2.0,FAVOUR,,,les garanties dels pares,las garantías de los padres,the parents's guarantees
129,ARG1 ,2.0,FAVOUR,128,RA,en dos desigualtats,en dos desigualdades,at two inequalities
130,ARG1 ,2.0,FAVOUR,129,RA,les desigualtats econòmiques i les desigualtats físiques,las desigualdades económicas y las desigualdades físicas,the economic inequalities and the physical inequalities
131,ARG1 ,2.0,FAVOUR,130,RA,les desigualtats econòmiques,las desigualdades económicas,the economic inequalities
132,ARG1 ,2.0,FAVOUR,130,RA,i les desigualtats físiques,y las desigualdades físicas,and the physical inequalities
133,ARG1 ,2.0,FAVOUR,130,RA,actualment una persona que vulgui realitzar la gestació subrogada ha de marxar,actualmente una persona que quiera realizar la gestación subrogada tiene que marchar,at present a person that want to realise the surrogacy has to leave
134,ARG1 ,2.0,FAVOUR,133,RA,això actualment no tothom s'ho pot permetre,esto actualmente no todo el mundo se lo puede permitir,this at present no everybody can it permit
135,ARG1 ,2.0,FAVOUR,134,MA,en canvi en el moment en què l'estat ho legalitzi estem donant una solució,en cambio en el momento en que el estado lo legalice estamos dando una solución,instead at the moment at what the state legalise it are giving a solution
136,ARG1 ,,FAVOUR,135,RA,estem donant una possibilitat a aquestes famílies que no tenen o no tenien aquesta possibilitat,estamos dando una posibilidad a estas familias que no tienen o no tenían esta posibilitado,are giving a possibility at these families that do not have or did not have this possibility
137,ARG1 ,2.0,FAVOUR,131,MA,aquesta desigualtat desapareixeria,esta desigualdad desaparecería,this inequality would disappear
138,ARG1 ,2.0,AGAINST,,,hem de legalitzar totes aquelles coses que no estan legalitzades a espanya i altres països sí,tenemos que legalizar todas aquellas cosas que no están legalizadas a espanya y otros países sí,have to legalise all those things that are not legalised at espanya and other countries aye
139,ARG1 ,2.0,FAVOUR,138,CA,no,no,no
140,ARG1 ,2.0,FAVOUR,139,RA,és donar l'oportunitat a aquestes persones de poder tenir un fill,es dar la oportunidad a estas personas de poder tener un hijo,is to give the opportunity at these persons to be able to have a son
141,ARG1 ,2.0,FAVOUR,,,només gestació subrogada,solo gestación subrogada,only surrogacy
142,ARG1 ,2.0,FAVOUR,141,RA,perquè si no acabaríem legalitzant tot i això no seria bo per l'estat,porque si no acabaríamos legalizando aun así no sería bueno por el estado,so that if we would not end legalising everything and this would not be good for the state
143,ARG1 ,2.0,FAVOUR,132,RA,les possibilitats físiques tracten de que no tothom pot tenir fills,las posibilidades físicas tratan de que no todo el mundo puede tener hijos,the physical possibilities treat of that no everybody can have children
144,ARG1 ,2.0,FAVOUR,143,RA,pot haver una família monoparental pot haver una família que sigui estèril  pot haver famílies homosexuals,puede haber una familia monoparental puede haber una familia que sea estéril puede haber familias homosexuales,can have a family monoparental can have a family that was barren can have homosexual families
145,ARG1 ,2.0,FAVOUR,144,RA,aquestes famílies potser volen tenir un fill biològic,estas familias quizás quieren tener un hijo biológico,these families perhaps want to have a biological son
146,ARG1 ,2.0,FAVOUR,145,MA,però no poden tenir-lo,pero no pueden tenerlo,but can not have it
147,ARG1 ,2.0,FAVOUR,146,RA,l'estat ha de garantir l'oportunitat de poder tenir-lo,el estado tiene que garantizar la oportunidad de poder tenerlo,the state has to guarantee the opportunity to be able to have it
148,ARG1 ,2.0,FAVOUR,147,RA,en el moment en què l'estat està posant sobre la taula aquesta solució podrà amb l'excepcionalitat del fet només aquestes persones ho podran fer,en el momento en que el estado está poniendo sobre la mesa esta solución podrá con la excepcionalidad del hecho solo estas personas lo podrán hacer,at the moment at what the state is posing on the table this solution will be able to with the excepcionalitat of the fact only these persons will be able to make it
149,ARG1 ,1.0,FAVOUR,,,la llibertat de la dona gestant la dona és lliure d'escollir,la libertad de la mujer gestando la mujer es libre de escoger,the liberty of the wife gestant the wife is free to choose
150,ARG1 ,1.0,FAVOUR,149,RA,en el moment en què l'estat no li permet fer-ho l'està objectivitzant,en el momento en que el estado no le permite hacerlo lo está objectivitzant,at the moment at what the state does not permit him make it is it objectivitzant
151,ARG1 ,1.0,FAVOUR,149;150,RA,no li deixen decidir sobre una informació que estarà conscienciada i ha de conèixer els fets de tenir fills,no le dejan decidir sobre una información que estará concienciada y tiene que conocer los hechos de tener hijos,do not let him decide on an information that will be conscienciada and has to meet the facts to have children
152,ARG1 ,1.0,FAVOUR,151,RA,ha d'haver una protecció per la part de l'estat,tiene que haber una protección por la parte del estado,has to have a protection for the part of the state
153,ARG1 ,1.0,FAVOUR,152,MA,en el moment en què la dona no estigui protegida no serà lliure per decidir,en el momento en que la mujer no esté protegida no será libre para decidir,at the moment at what the wife was not protected will not be free to decide
154,ARG1 ,1.0,FAVOUR,153,RA,però en el cas de protegir mitjançant la proposta presentada la dona sí serà lliure de decidir,pero en el caso de proteger mediante la propuesta presentada la mujer sí será libre de decidir,but at the case to protect by means of the proposal presented the wife aye will be free to decide
155,ARG1 ,,AGAINST,,,la gestació subrogada que altruista tan sols comporta un deu per cent del total,la gestación subrogada que altruista tan solo comporta un diez por ciento del total,the surrogacy that altruist as only gate one spring percent of the total
156,ARG1 ,,AGAINST,155,RA,això vol dir que la gestació subrogada altruista no representa una majoria,esto quiere decir que la gestación subrogada altruista no representa una mayoría,this means that the surrogacy altruistic does not represent a majority
157,ARG1 ,,AGAINST,156,RA,tan sols podem parlar de gestació subrogada remunerada,tan solo podemos hablar de gestación subrogada remunerada,as only can talk of surrogacy remunerada
158,ARG1 ,,AGAINST,,,és legítim tractar una dona com un simple arbre que dóna fruits,es legítimo tratar una mujer como un simple árbol que da frutos,is legitimate to treat a wife how a simple tree that gives fruits
159,ARG1 ,,AGAINST,,,no,no,no
