ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
11,INTRO,,FAVOUR,,,en canvi un embaràs només són nou mesos,en cambio un embarazo solo son nueve meses,instead a pregnancy only are nine months
12,INTRO,,FAVOUR,,,tot això suposant que finalment siguem aptes per poder adoptar ,todo esto suponiendo que finalmente seamos aptas para poder adoptar,everything this supposing that finally are apt to be able to adopt
13,INTRO,,FAVOUR,12,RA,hi ha moltes traves,hay muchas trabes,there is a lot of fetters
14,INTRO,,FAVOUR,9;10;12 ,RA,el principal mètode alternatiu l'adopció cau ,el principal método alternativo la adopción cae,the principal alternative method the adoption falls
15,INTRO,,FAVOUR,,,d'igualtat d'oportunitats,de igualdad de oportunidades,of equality of opportunities
16,INTRO,,FAVOUR,1,RA,tots hem de tenir la mateixa quantitat de paperetes,todos tenemos que tener la misma cantidad de papeletas,all have to have the same quantity of ballots
17,INTRO,,FAVOUR,16,RA,no només la gent amb més diners ha de poder anar a estats units ucraïna rússia  pillar cent cinquanta mil dòlars i encomanar un nadó,no solo la gente con más dinero tiene que poder ir a estados unidos ucraïna rússia pillar ciento cincuenta mil dólares y encomendar un bebé,no only the persons with more money has to can go at states united ucraïna rússia pillar one hundred fifty one thousand dollars and entrust a baby
18,INTRO,,FAVOUR,17,RA,hem d'evitar aquest abús de la gent rica enfront dels que estan en risc d'exclusió,tenemos que evitar este abuso de la gente rica frente a los que están en riesgo de exclusión,have to eschew this abuse of the affluent persons in front of the that are at risk of exclusion
19,INTRO,,FAVOUR,,,la llibertat individual,la libertad individual,the individual liberty
20,INTRO,,FAVOUR,19,RA,les persones han de decidir per elles mateixes,las personas tienen que decidir por ellas mismas,the persons have to decide for them same
21,INTRO,,FAVOUR,20,RA,no som ningú per dir-li una dona el que sí i el que no pot fer amb el seu propi cos,no somos nadie para decirle una mujer el que sí y el que no puede hacer con su propio cuerpo,are not nobody to say him a wife what aye and what can not make with his own body
22,INTRO,,FAVOUR,,,les dones no estan fent cap mal a ningú amb la gestació subrogada,las mujeres no están haciendo ningún mal a nadie con la gestación subrogada,the wives are not making any harm at nobody with the surrogacy
23,INTRO,,FAVOUR,22,CA,estan fent un bé per a la societat una ajuda a formar famílies,están haciendo un bien para la sociedad una ayuda a formar familias,are making a sake for the society an aid at forming families
24,INTRO,,FAVOUR,22,RA,no cap crim,no ningún crimen,no any crime
25,INTRO,,FAVOUR,23,MA,estan ajudant a complir el desig de ser pare,están ayudando a cumplir el deseo de ser pare,are aiding at conforming the wish to be father
26,INTRO,,FAVOUR,2,MA,s'ha de legalitzar la gestació subrogada,se tiene que legalizar la gestación subrogada,has to legalise  the surrogacy
27,INTRO,,AGAINST,,,ens agradaria començar fent un viatge en el temps per poder veure l'evolució del paper de la dona en la nostra societat la dona que de servir a l'home la dona com a objecte sexual de l'home la dona despullada per l'home la dona per excitar a l'home la dona que ara ha de gestar per l'home,nos gustaría empezar haciendo un viaje en el tiempo para poder ver la evolución del papel de la mujer en nuestra sociedad la mujer que de servir al hombre la mujer como objeto sexual del hombre la mujer desnudada por el hombre la mujer para excitar al hombre la mujer que ahora tiene que gestar por el hombre,would like us commence making a time travel to be able to view the evolution of the paper of the wife at our society the wife that to serve at the man the wife as a sexual object of the man the naked wife for the man the wife to arouse at the man the wife that now has to gestar for the man
28,INTRO,,AGAINST,,,impedir que es legalitzi una activitat que perpetua l'estatus de subordinació de la dona,impedir que se legalice una actividad que perpetúa el estatus de subordinación de la mujer,impede that it legalise  an activity that perpetuates the status of subordination of the wife
29,INTRO,,AGAINST,,,la gestació subrogada és un mètode de reproducció assistida mitjançant el qual una dona gesta un embaràs i dona llum a un nadó que després ha d'entregar a uns altres progenitors,la gestación subrogada es un método de reproducción asistida mediante el cual una mujer gesta un embarazo y da luz a un bebé que después tiene que entregar a otros progenitores,the surrogacy is a method of reproduction assisted by means of which a wife feat a pregnancy and gives light at a baby that next has to hand at other progenitors
30,INTRO,,AGAINST,26,CA,ens oposem fermament a que passi a ser una pràctica permesa per la llei i ho fem per dos motius principals ,nos oponemos firmemente a que pase a ser una práctica permitida por la ley y lo hacemos por dos motivos principales,body oposem firmly at that pass at being a practice permitted by the law and make it for two principal motifs
31,INTRO,,AGAINST,30,RA,per un argument feminista  ,por un argumento feminista,for a feminist argument
32,INTRO,,AGAINST,31,RA,el feminisme des d'una presa de consciència de l'objectivització que pateix i que ha patit la dona durant tots aquests anys,el feminismo desde una presa de conciencia de la objectivització que sufre y que ha sufrido la mujer durante todos estos años,the feminism since an inmate of conscience of the objectivització that suffers and that has suffered the wife during all these years
33,INTRO,,AGAINST,32,RA,davant d'això el feminisme vol fer una lluita per aconseguir una igualtat de drets entre els homes i entre les dones,ante esto el feminismo quiere hacer una lucha para conseguir una igualdad de derechos entre los hombres y entre las mujeres,in front of this the feminism wants to make a fight to achieve an equality of laws among the men and among the wives
34,INTRO,,AGAINST,29;33,RA,legalitzar la gestació subrogada dificulta l'alliberament de la dona,legalizar la gestación subrogada dificulta la liberación de la mujer,legalise the surrogacy hampers the liberation of the wife
35,INTRO,,AGAINST,34,RA,és un altre d'aquests actes que objectivitza la dona passa tractar-la com un mer recipient la instrumentalitza,es otro de estos actos que objectivitza la mujer pasa tratarla como un mero recipiente la instrumentaliza,is another of these acts that objectivitza the wife passes to treat it how a mere container the instrumentalitza
36,INTRO,,AGAINST,35,RA,és com si mitjançant un contracte lloguer lloguéssim el seu ventre i amb ell la seva capacitat reproductiva però sense respectar una clàusula fonamental el dret a rescindir-lo durant el procés,es cómo si mediante un contrato alquiler alquiláramos su vientre y con él su capacidad reproductiva pero sin respetar una cláusula fundamental el derecho a rescindirlo durante el proceso,is as if by means of an agreement hire rented his belly and with him his reproductive capacity but without respecting a fundamental clause the law to rescind it during the process
37,INTRO,,AGAINST,35,RA,el dret a la integritat física i moral i a la dignitat de les dones són valors inalienables d'una democràcia,el derecho a la integridad física y moral y a la dignidad de las mujeres son valores inalienables de una democracia,the law to the physical and moral integrity and at the dignity of the wives are inalienable values of a democracy
38,INTRO,,AGAINST,,,a més a més legalitzar la gestació subrogada fomenta el patriarcat,además legalizar la gestación subrogada fomenta el patriarcado,in addition legalise the surrogacy fosters the patriarchy
39,INTRO,,AGAINST,38,RA,el patriarcat és el sistema estructural que permet que hi hagi un sexe que sobrepassi un altre,el patriarcado es el sistema estructural que permite que haya un sexo que sobrepase otro,the patriarchy is the structural system that permits that there is a sex that exceed another
40,INTRO,,AGAINST,38,RA,la gestació subrogada és una pràctica patriarcal  ,la gestación subrogada es una práctica patriarcal,the surrogacy is a patriarchal practice
41,INTRO,,AGAINST,40,RA,ja que el major beneficiat d'aquesta pràctica és l'home,puesto que el mayor beneficiado de esta práctica es el hombre,since the main benefited of this practice is the man
42,INTRO,,AGAINST,,,les dones per poder tenir fills tenen altres mètodes de reproducció assistida que poden utilitzar sense haver d'utilitzar el cos d'una altra dona,las mujeres para poder tener hijos tienen otros métodos de reproducción asistida que pueden utilizar sin tener que utilizar el cuerpo de otra mujer,the wives to be able to have children have other methods of reproduction assisted that they can utilise without having to utilise the body of another wife
43,INTRO,,AGAINST,,,en canvi l'home per poder satisfer aquest desig de ser pare sempre haurà d'utilitzar i vulnerar el cos d'una altra dona,en cambio el hombre para poder satisfacer este deseo de ser padre siempre tendrá que utilizar y vulnerar el cuerpo de otra mujer,instead the man to be able to satisfy this wish to be father always will have to utilise and vulnerar the body of another wife
44,INTRO,,AGAINST,33,RA,a ple segle vint-i-u el patriarcat està provocant que sota un pretext de llibertat justifiquin pràctiques que no fan res més que prorrogar l'estatus de subordinada a la dona,a pleno siglo veintiuno el patriarcado está provocando que bajo un pretexto de libertad justifiquen prácticas que no hacen nada más que prorrogar el estatus de subordinada a la mujer,at full century twenty-and-u the patriarchy is provoking that under a pretext of liberty justify practices that do not make anything more that prorrogar the status of subordinated at the wife
45,INTRO,,AGAINST,,,un argument de mercantilització,un argumento de mercantilización,an argument of mercantilització
46,INTRO,,AGAINST,45,RA,amb la gestació subrogada estem donant la llibertat al mercat perquè pugui regir dues vides humanes ,con la gestación subrogada estamos dando la libertad al mercado porque pueda regir dos vidas humanas,with the surrogacy are giving the liberty at the market so that it can govern two human lives
47,INTRO,,AGAINST,46,RA,per una banda la vida del nadó i per altra banda la vida de la mare gestant,por un lado la vida del bebé y por otro lado la vida de la madre gestante,on the one hand the life of the baby and on the other hand the mother's life gestant
48,INTRO,,AGAINST,46,RA,hi ha certs valors morals com ara és la vida que es degraden en el moment en els que els posem a la lògica de la llei de l'oferta i la demanda,hay ciertos valores morales como ahora es la vida que se degradan en el momento en los que los ponemos a la lógica de la ley de la oferta y la demanda,there are some moral values how now is the life that degrade  at the moment at those that pose the ones at the logic of the law of the offer and the demand
49,INTRO,,AGAINST,48,MA,és a dir aquests valors es corrompen i passen a ser susceptibles de valoració per part de les persones que els adquireixen és a dir els pares,es decir estos valores se corrompen y pasan a ser susceptibles de valoración por parte de las personas que los adquieren es decir los pares,that is to say these values corrupt  and pass at susceptible being of appraisal for part of the persons that acquire the ones that is to say the parents
50,INTRO,,AGAINST,37,RA,els éssers humans som persones dignes de respecte i no mers objectes que s'utilitzen,los seres humanos somos personas dignas de respeto y no meros objetos que se utilizan,the human beings are worthy persons of respect and no mere objects that utilise
51,ARG1,1.0,FAVOUR,,,ara mateix aquí és il·legal dur-la a terme,ahora mismo aquí es ilegal llevarla a cabo,right now here is illegal to carry out it
52,ARG1,1.0,FAVOUR,51,CA,però coneixeu famílies o sentit xerrar o heu llegit notícies de persones que se'n van a l'estranger i realitzen aquesta pràctica,pero conocéis familias o sentido charlar o habéis leído noticias de personas que se van al extranjero y realizan esta práctica,but meet families or heard chat or have read news of persons that go  abroad and realise this practice
53,ARG1,1.0,FAVOUR,,,hi ha uns espanyols o uns ciutadans d'aquest estat que no poden dur a terme aquesta pràctica i n'hi ha d'altres uns de primera classe que sí que ho poden dur terme,hay unos españoles o unos ciudadanos de este estado que no pueden llevar a cabo esta práctica y hay otros unos de primera clase que sí que lo pueden llevar término,there are some Spanish or some citizens of this state that can not carry out this practice and has to  others ones of first class that aye that can take it term
54,ARG1,1.0,FAVOUR,53,RA,la primera d'elles és la desesperada situació de dues parelles aragoneses que s'han quedat a ucraïna diu acaben de convertir-se en pares i ara de moment necessiten tres mesos per poder inscriure el seu nadó l'adn el material genètic és dels pares famílies demanen la filiació a nins que estan a geòrgia estan aturats al ministeri d'interior diu no no si a espanya està prohibit a georgia i ucraïna també el qual seria bastant lògic d'entendre però clar quan tornàvem en aquesta pràctica de espanyols de primero i espanyols de segona els que estan a les butaques i els que estan allà baix ens trobam que si llegim la notícia completo ens adonem que demanen que se'ls reconegui els mateixos drets que aquesta gent que té més doblers i sí que se'n pot anar a estats units i canadà Perquè estats units i canadà anem a explicar-ho perquè hi ha realment hi ha una sentència judicial que reafirma vostè és veu que ha donat el material genètic ,la primera de ellas es la desesperada situación de dos parejas aragonesas que se han quedado a ucraïna dice acaban de convertirse en padres y ahora de momento necesitan tres meses para poder inscribir su bebé el adn el material genético es de los padres familias piden la filiación a nins que están a geòrgia están parados al ministerio de interior dice no no si a espanya está prohibido a georgia y ucraïna también el cual sería bastante lógico de entender pero claro cuando volvíamos en esta práctica de españoles de primero y españoles de segunda los que están a las butacas y los que están allí abajo nos encontramos que si leemos la noticia completo nos damos cuenta que pidan que se los reconozca los mismos derechos que esta gente que tiene más dobleros y sí que se puede ir a estados unidos y canadà Porque estados unidos y canadà vayamos a explicarlo porque hay realmente hay una sentencia judicial que reafirma usted es voz que ha dado el material genético,the first of them is the desperate situation of two Aragonese couples that have stayed  at ucraïna says end to convert  at parents and now for the moment need three months to be able to inscribe his baby the adn the genetic material is of the parents families request the filiació at nins that they are at geòrgia are stopped at the ministry of interior says no no if at espanya is prohibited at georgia and ucraïna also which would be quite logical to understand but clear when returned at this practice of Spanish of primero and Spanish of second those that are at the seats and those that are down there find us that if we read the news complete body adonem that they request that it recognise the ones the same laws that these persons that has more doblers and aye that it can  go at states united and canadà So that states united and canadà go at explaining it so that there is really there is a judicial sentence that reaffirms you is voice that has given the genetic material
55,ARG1,1.0,FAVOUR,54,MA,és a dir depenent de sa forma que es gestiona sa gestació subrogada a espanya dèiem ens tancava els ulls o no els tancam,es decir dependiendo de su forma que se gestiona su gestación subrogada a espanya decíamos nos cerraba los ojos o no los cerramos,that is to say dependent of his form that manages  his surrogacy at espanya said shut us the eyes or do not shut the ones
56,ARG1,,AGAINST,,,no creu que les persones sota cap supòsit no s'han de tractar com un mitjà sinó com un fi en si mateix,no cree que las personas bajo ningún supuesto no se tienen que tratar como un medio sino como un fin en sí mismo,does not think that the persons under any supposition do not have to  treat like a mode but like one end at if same
57,ARG1,2.0,FAVOUR,56,CA,no volem tractar ses persones com a mitjans,no queremos tratar sus personas como medianos,do not want to treat his persons as a modes
58,ARG1,2.0,FAVOUR,57,RA,establir uns supòsits establir uns controls i a partir d'aquí dir ara la decisió és vostra,establecer unos supuestos establecer unos controles y a partir de aquí decir ahora la decisión es vuestra,establish some suppositions establish some controls and from here say now the decision is yours
59,ARG1,2.0,FAVOUR,58,RA,coneguent aquest riscos amb una sèrie controls mèdics a priori a posteriori ara la decisió la tens tu,coneguent este riesgos con una serie controles médicos a priori a posteriori ahora la decisión la tienes tú,coneguent these risks with a series medical controls a priori with hindsight now the decision have it you
60,ARG1,2.0,FAVOUR,59,RA,empoderar les dones i que elles puguin decidir,empoderar las mujeres y que ellas puedan decidir,empoderar the wives and that they can decide
61,ARG1,2.0,FAVOUR,59,RA,això sí que es realment el feminisme,eso sí que se realmente el feminismo,this aye that  really the feminism
62,ARG1,,AGAINST,,,encara que la dona pugui arribar a ser lliure com a gestant  ,aunque la mujer pueda llegar a ser libre como gestante,although the wife can reach free being as a gestant
63,ARG1,,AGAINST,62,RA,és inacceptable la idea mateixa de la gestació com a cosificació de la dona,es inaceptable la idea misma de la gestación como cosificación de la mujer,is unacceptable the same idea of the gestation as a reification of the wife
64,ARG1,2.0,FAVOUR,,, sa gestació com a tal és un procés natural,su gestación como tal es un proceso natural,his gestation as such is a natural process
65,ARG1,2.0,FAVOUR,64,RA, la gestació per persones de forma altruista consideres que també és una manera de fer-ho entre persones,la gestación por personas de forma altruista consideras que también es una manera de hacerlo entre personas,the gestation for persons of altruistic form consider that also is a mode to make it among persons
66,ARG1,2.0,FAVOUR,65,RA,sí,sí,aye
67,ARG1,2.0,FAVOUR,,,no estem a favor d'una gestació subrogada de barra lliure d'una gestació subrogada on se cosifiques,no estamos a favor de una gestación subrogada de barra libre de una gestación subrogada donde se cosifiques,are not in favour of a surrogacy of free bar of a surrogacy where  cosifiques
68,ARG1,2.0,FAVOUR,67,MA,establir controls límit una sèrie supòsits i en base en això després poder legalitzar-ho,establecer controles límite una serie supuestos y en base en esto después poder legalizarlo,establish borderline controls a series suppositions and at base at this next can legalise it
69,ARG1,1.0,FAVOUR,68,RA,si no a la pràctica en què ens trobem en què un ciutadans d'un mateix estat que en teoria hauria de garantir els mateixos drets per tothom que té diu vostè no té doblers per tant vostè no se'n pot anar a l'estranger no pot tenir un fill per gestació subrogada vostè se'n pot anar geòrgia però tindrà aquests problemes però vostè sí perquè vostè en el seu compte bancari supera ics zeros i per tant vostès sí que se'n pot anar a estats units o al canadà i per tant tenir fill per gestació subrogada,si no a la práctica en que nos encontramos en que un ciudadanos de un mismo estado que en teoría tendría que garantizar los mismos derechos por todo el mundo que tiene dice usted no tiene dobleros por lo tanto usted no se puede ir al extranjero no puede tener un hijo por gestación subrogada usted se puede ir geòrgia pero tendrá estos problemas pero usted sí porque usted en su cuenta bancaria supera equis ceros y por tanto ustedes sí que se puede ir a estados unidos o al canadà y por tanto tener hijo por gestación subrogada,if no in all but name at what find us at what some citizens of a same state that at theory would have to guarantee the same laws for everybody that has says you does not have doblers therefore you no can  go abroad can not have a son for surrogacy you can  go geòrgia but will these problems but you aye so that you at his bank account surpasses ics zeros and therefore you aye that it can  go at states united or at the canadà and therefore have son for surrogacy
70,ARG1,1.0,FAVOUR,69,RA,aquesta doble moralitat és la que nosaltres venim avui a criticar,esta doble moralidad es la que nosotros venimos hoy a criticar,this double morality is what we come today at critiquing
71,ARG1,1.0,FAVOUR,,,en espanya serà il·legal però és que tenim espanyols que ho fan,en espanya será ilegal pero es que tenemos españoles que lo hacen,espanya will be illegal but is that have Spanish that make it
72,ARG1,1.0,FAVOUR,43,MA,s'equip contrari mos dirà que ser pare no és un dret que és un desig,se equipo contrario bocado dirá que ser padre no es un derecho que es un deseo,contrary squad snack will say that be father is not a law that is a wish
73,ARG1,1.0,FAVOUR,,,un estat social se tracta de garantir els mateixos drets per tothom,un estado social se trata de garantizar los mismos derechos por todo el mundo,a social state treats  to guarantee the same laws for everybody
74,ARG1,1.0,FAVOUR,73,RA,assegurar que col·lectius que de forma natural no poden tenir fills ara puguin optar a aquesta via,asegurar que colectivos que de forma natural no pueden tener hijos ahora puedan optar a esta vía,assure that collective that of natural form can not have children now can opt at this road
75,ARG1,1.0,FAVOUR,,,donar facilitats per formar famílies,dar facilidades para formar familias,give eases to form families
76,ARG1,1.0,FAVOUR,75,RA,per tres eixos,por tres esos,for three axes
77,ARG1,1.0,FAVOUR,76,RA,primer la natalitat està sota mínims a espanya,primero la natalidad está bajo mínimos en espanya,first the natality is under minima at espanya
78,ARG1,1.0,FAVOUR,77,RA,l'envelliment de la població és total,el envejecimiento de la población es total,the aging of the populace is total
79,ARG1,1.0,FAVOUR,,,en els darrers quinze anys hem legalitzat el matrimoni homosexual hem legalitzat l'avortament,en los últimos quince años hemos legalizado el matrimonio homosexual hemos legalizado el aborto,at the last fifteen years have legalised the homosexual marriage have legalised the abortion
80,ARG1,1.0,FAVOUR,79,RA,tenim tota una sèrie de noves famílies avui en dia ja no és pare mare fill filla,tenemos toda una serie de nuevas familias hoy en día ya no es pare madre hijo hija,have all a series of new families today at day no longer is pause mother son daughter
81,ARG1,1.0,FAVOUR,80,MA,tenim una mare tota sola tenim una parella homosexual tenint fills,tenemos una madre a solas tenemos una pareja homosexual teniendo hijos,have a mother all only have a homosexual couple having children
82,ARG1,1.0,FAVOUR,81,RA,donar una resposta en aquesta gent,dar una respuesta en esta gente,give a response at these persons
83,ARG1,1.0,FAVOUR,82,RA,està fent una cosa tan tan tan radical com és voler tenir un fill voler formar una família,está haciendo una cosa tan tan tan radical como es querer tener un hijo querer formar una familia,is making a thing as as as radical and is to want to have a son want to form a family
84,ARG1,2.0,FAVOUR,,,l'equip contrari ens dirà cosificar,el equipo contrario nos dirá cosificar,the contrary squad will say us cosificar
85,ARG1,1.0,FAVOUR,84,CA,què és el que cosifica més que l'equip contrari digui vostè no ho pot fer o que aquesta senyora pugui dir jo sent conscient dels riscos els vull assumir de forma altruista i amb uns controls,qué es el que cosifica más que el equipo contrario diga usted no lo puede hacer o que esta señora pueda decir yo siento consciente de los riesgos los quiero asumir de forma altruista y con unos controles,what is what cosifica more that the contrary squad say you can not it make or that this lady can say I hears conscious of the risks want to assume the ones of altruistic form and with some controls
86,ARG1,1.0,AGAINST,87,RA,ens neguem a què es practiqui aquesta pràctica  ,nos negamos a que se practique esta práctica,deny us at what practice  this practice
87,ARG1,1.0,AGAINST,,,de manera que hi ha tractats internacionals que prohibeixen per exemple l'esclavitud de nens a tot el món pot haver-hi tractat internacionals on es prohibeixi aquesta pràctica,de forma que hay tratados internacionales que prohíben por ejemplo la esclavitud de niños en todo el mundo puede haber tratado internacionales donde se prohíba esta práctica,so that it has treated  international that prohibit for example the slavery of boys all over the world can have treated international where prohibit  this practice
88,ARG1,1.0,AGAINST,,,vosaltres us imagineu en un contracte de treball un contracte laboral que tothom si té sort treballa que durant aquest contracte laboral tu no puguis renunciar al contracte laboral  que tu quan signis és un contracte et compromets durant nou mesos durant un any durant dos anys a no poder renunciar aquell treball si això fos així estaríem renunciant als nostres drets fonamentals a la nostra llibertat si jo signo un contracte per mitjà del qual jo estic renunciant a la meva llibertat això no és llibertat,vosotros os imagináis en un contrato de trabajo un contrato laboral que todo el mundo si tiene suerte trabaja que durante este contrato laboral tú no puedas renunciar en el contrato laboral que tú cuando firmes es un contrato te comprometes durante nueve meses durante un año durante dos años a no poder renunciar aquel trabajo si esto fundido así estaríamos renunciando a nuestros derechos fundamentales a nuestra libertad si yo firmo un contrato por medio del cual yo estoy renunciando a mi libertad esto no es libertad,you imagine you at an agreement of work a labour agreement that everybody if has luck works that during this labour agreement you can not renounce at the labour agreement that you when sign is an agreement engage you during nine months during a year during two years at not being able to renounce that work if this melted like this would be renouncing at our fundamental laws at our liberty if I sign an agreement by means of which I am renouncing at my liberty this is not liberty
89,ARG1,1.0,AGAINST,88,RA,una dona quan fa gestació subrogada està signant que durant nou mesos no té la llibertat de fer el que vulgui,una mujer cuando hace gestación subrogada está firmando que durante nueve meses no tiene la libertad de hacer el que quiera,a wife when makes surrogacy is signing that during nine months does not have the liberty to make what want to
90,ARG1,1.0,AGAINST,88,RA,el contracte laboral és garantista en un estat social democràtic de dret,el contrato laboral es garantista en un estado social democrático de derecho,the labour agreement is garantista at a democratic social state by right
91,ARG1,1.0,AGAINST,90,RA,a un quan dóna llibertat al treballador a renunciar en qualsevol moment si no li agrada el que està fent si no li agrada la seva feina,a un cuando da libertad al trabajador a renunciar en cualquier momento si no le gusta el que está haciendo si no le gusta su trabajo,at one when gives liberty at the worker at renouncing anytime if it does not like him what is making if it does not like him his work
92,ARG1,1.0,AGAINST,90,CA,una gestació subrogada no és així,una gestación subrogada no es así,a surrogacy is not like this
93,ARG1,1.0,AGAINST,92,RA,una dona es veu durant nou mesos sotmesa al que vulguin les persones que l'han contractat per tal de tenir el seu fill,una mujer se ve durante nueve meses sometida al que quieran las personas que lo han contratado para tener su hijo,a wife views  during nine months subjected at the that want to the persons that have hired it for such to have his son
94,ARG1,1.0,AGAINST,89,RA,per tant la llibertat es pot exercir per renunciar la pròpia llibertat,por lo tanto la libertad se puede ejercer para renunciar la propia libertado,therefore the liberty can exert  to renounce the own liberty
95,ARG1,1.0,AGAINST,,,no hi ha menys res menys paternalista que tenir un sistema que garanteixi que la dona podrà fer en tot moment el que vol,no hay menos nada menos paternalista que tener un sistema que garantice que la mujer podrá hacer en todo momento el que quiere,there is not less nothing less paternalista that have a system that guarantee that the wife will be able to make at all times what wants to
96,ARG1,,FAVOUR,,,a que parla tant de feminisme podria definir-m'ho,a que habla tanto de feminismo podría definírmelo,at that it talks so much of feminism could define it to me
97,ARG1,1.0,AGAINST,,,feminisme és aquell moviment polític que defensa la igualtat d'homes i dones ,feminismo es aquel movimiento político que defiende la igualdad de hombres y das,feminism is that political movement that defends the equality of men and wives
98,ARG1,1.0,AGAINST,97,RA,es diu feminisme precisament perquè és la dona la que es troba en una situació de desigualtat respecte a l'home,se llama feminismo precisamente porque es la mujer la que se encuentra en una situación de desigualdad respecto al hombre,says  feminism precisely so that it is the wife what finds  at a situation of inequality with regard to the man
99,ARG1,1.0,AGAINST,93,RA,l'associació espanyola de bioètica que ja defensa precisament que és una forma d'explotació de la dona és una forma de cosificar-la i és una forma que fa que vulneri la seva dignitat perquè renunciï a drets fonamentals,la asociación española de bioética que ya defiende precisamente que es una forma de explotación de la mujer es una forma de cosificar-la y es una forma que hace que vulnere su dignidad porque renuncie a derechos fundamentales,the Spanish association of bioethics that already defence precisely that it is a form of exploitation of the wife is a form of cosificar-the and is a form that makes that vulneri his dignity so that it renounce at fundamental laws
100,ARG1,1.0,AGAINST,93,RA,també per exemple el consell europeu el consell d'europa també ha dit exactament el mateix que és una forma de perdre dignitat de la dona perquè està renunciant als seus drets fonamentals,también por ejemplo el consejo europeo el consejo de europa también ha dicho exactamente el mismo que es una forma de perder dignidad de la mujer porque está renunciando a sus derechos fundamentales,also for example the European council the council of europa also has said exactly the same that is a form to miss dignity of the wife so that it is renouncing at his fundamental laws
101,ARG1,1.0,AGAINST,98;99,MA,és a dir estudis associacions que ja han estudiat el tema i han vist i han conclòs que efectivament es produeix una vulneració dels drets de les dones cosa que no podem permetre,es decir estudios asociaciones que ya han estudiado el tema y han visto y han concluido que efectivamente se produce una vulneración de los derechos de las mujeres cosa que no podemos permitir,that is to say surveys associations that already have studied the motif and have viewed and have concluded that sure enough produces  a violation of the laws of the wives thing that can not permit
102,ARG1,2.0,AGAINST,,,és gratis,es gratis,is free
103,ARG1,2.0,AGAINST,,,però el fet que sigui gratis no vol dir que jo no mercantilitzi res ni que jo no valori el que m'estan regalant,pero el hecho que sea gratis no quiere decir que yo no mercantilice nada ni que yo no valore el que me están regalando,but the fact that was free does not mean that I no mercantilitzi nothing or that I do not value what are giving me
